Gene_a	Celltype_a	Gene_b	Celltype_b
FB	C3	LC	ITGB2	
FB	C3	Mac	C3AR1	
FB	C3	Mac	C5AR2	
FB	C3	Mac	ITGAM	
FB	C3	Mac	ITGB2	
FB	CADM1	FB	CADM1	
FB	CADM1	FB	NECTIN3	
FB	CADM1	HFC	CADM1	
FB	CADM1	KC	CADM1	
FB	CADM1	LEC	NECTIN3	
FB	CADM1	Lymphocyte	NECTIN3	
FB	CADM1	MEC	CADM1	
FB	CADM1	MEC	NECTIN3	
FB	CADM1	MEL	CADM1	
FB	CADM1	MEL	NECTIN3	
FB	CADM1	Mac	CADM1	
FB	CADM1	Pc	CADM1	
FB	CADM1	Pc	NECTIN3	
FB	CADM1	SGC	CADM1	
FB	CADM1	Schwann	CADM1	
FB	CADM1	Schwann	NECTIN3	
FB	CADM1	VEC	NECTIN3	
FB	CADM3	FB	CADM1	
FB	CADM3	FB	EPB41L1	
FB	CADM3	FB	NECTIN3	
FB	CADM3	HFC	CADM1	
FB	CADM3	HFC	CADM4	
FB	CADM3	HFC	EPB41L1	
FB	CADM3	KC	CADM1	
FB	CADM3	KC	CADM4	
FB	CADM3	KC	EPB41L1	
FB	CADM3	Channel	CADM1	
FB	CADM3	Channel	CADM4	
FB	CADM3	Channel	EPB41L1	
FB	CADM3	LEC	EPB41L1	
FB	CADM3	LEC	NECTIN3	
FB	CADM3	Lymphocyte	CADM1	
FB	CADM3	Lymphocyte	NECTIN3	
FB	CADM3	MEC	CADM1	
FB	CADM3	MEC	CADM4	
FB	CADM3	MEC	EPB41L1	
FB	CADM3	MEC	NECTIN3	
FB	CADM3	MEL	CADM1	
FB	CADM3	MEL	CADM4	
FB	CADM3	MEL	NECTIN3	
FB	CADM3	Mac	CADM1	
FB	CADM3	Mac	EPB41L1	
FB	CADM3	Mast	EPB41L1	
FB	CADM3	Pc	CADM1	
FB	CADM3	Pc	EPB41L1	
FB	CADM3	Pc	NECTIN3	
FB	CADM3	SGC	CADM1	
FB	CADM3	SGC	CADM4	
FB	CADM3	SGC	EPB41L1	
FB	CADM3	Schwann	CADM1	
FB	CADM3	Schwann	CADM4	
FB	CADM3	Schwann	NECTIN3	
FB	CADM3	Sebocyte	CADM1	
FB	CADM3	Sebocyte	EPB41L1	
FB	CADM3	VEC	CADM1	
FB	CADM3	VEC	EPB41L1	
FB	CADM3	VEC	NECTIN3	
FB	CBR1	FB	PTGFR	
FB	CCL19	FB	ACKR4	
FB	CCL19	KC	ACKR4	
FB	CCL19	LC	CCR7	
FB	CCL19	LC	CCRL2	
FB	CCL19	Lymphocyte	CCR7	
FB	CCL19	Mac	CCR7	
FB	CCL19	Mac	CCRL2	
FB	CCL19	VEC	CCRL2	
FB	CCL2	LEC	ACKR2	
FB	CCL2	MEC	ACKR1	
FB	CCL2	Mac	CCR2	
FB	CCL2	Schwann	ACKR1	
FB	CCL2	Sebocyte	ACKR1	
FB	CCL2	VEC	ACKR1	
FB	CCL21	FB	ACKR4	
FB	CCL21	LC	CCR7	
FB	CCL21	Lymphocyte	CCR7	
FB	CCL21	Mac	CCR7	
FB	CD24	VEC	SELP	
FB	CD248	FB	IL6R	
FB	CD248	KC	IL6R	
FB	CD248	Channel	IL6R	
FB	CD248	LC	IL6R	
FB	CD248	Lymphocyte	IL6R	
FB	CD248	MEC	IL6R	
FB	CD248	MEL	IL6R	
FB	CD248	Mac	IL6R	
FB	CD248	Mast	IL6R	
FB	CD248	Pc	IL6R	
FB	CD248	SGC	IL6R	
FB	CD248	Schwann	IL6R	
FB	CD248	Sebocyte	IL6R	
FB	CD248	VEC	IL6R	
FB	CD320	LC	JAML	
FB	CD320	Lymphocyte	JAML	
FB	CD320	Mac	JAML	
FB	CD34	VEC	SELP	
FB	CD44	LC	TYROBP	
FB	CD44	Mac	TYROBP	
FB	CD44	Mast	TYROBP	
FB	CD44	Sebocyte	SELE	
FB	CD44	VEC	SELE	
FB	CD47	FB	SIRPA	
FB	CD47	HFC	SIRPA	
FB	CD47	KC	SIRPA	
FB	CD47	Channel	SIRPA	
FB	CD47	LC	SIRPA	
FB	CD47	LEC	SIRPA	
FB	CD47	MEC	SIRPA	
FB	CD47	MEL	SIRPA	
FB	CD47	Mac	SIRPA	
FB	CD47	SGC	SIRPA	
FB	CD47	Sebocyte	SIRPA	
FB	CD47	VEC	SIRPA	
FB	CD55	FB	ADGRE5	
FB	CD55	LC	ADGRE5	
FB	CD55	LEC	ADGRE5	
FB	CD55	Lymphocyte	ADGRE5	
FB	CD55	MEC	ADGRE5	
FB	CD55	MEL	ADGRE5	
FB	CD55	Mac	ADGRE5	
FB	CD55	Mast	ADGRE5	
FB	CD55	Pc	ADGRE5	
FB	CD55	SGC	ADGRE5	
FB	CD55	Schwann	ADGRE5	
FB	CD58	Lymphocyte	CD2	
FB	CD99	HFC	PILRA	
FB	CD99	KC	PILRA	
FB	CD99	Channel	PILRA	
FB	CD99	LC	PILRA	
FB	CD99	MEC	PILRA	
FB	CD99	Mac	PILRA	
FB	CD99	SGC	PILRA	
FB	CD99	Sebocyte	PILRA	
FB	CLCF1	FB	CNTFR	
FB	CLCF1	FB	IL6ST	
FB	CLCF1	FB	LIFR	
FB	CLCF1	Schwann	CNTFR	
FB	CLCF1	Schwann	IL6ST	
FB	CLCF1	Schwann	LIFR	
FB	CLCF1	Sebocyte	CNTFR	
FB	CLCF1	Sebocyte	IL6ST	
FB	CLCF1	Sebocyte	LIFR	
FB	CLSTN1	FB	NRXN3	
FB	CLSTN1	HFC	NRXN1	
FB	CLSTN1	HFC	NRXN3	
FB	CLSTN1	LEC	NRXN3	
FB	CLSTN1	MEC	NRXN1	
FB	CLSTN1	MEC	NRXN3	
FB	CLSTN1	MEL	NRXN3	
FB	CLSTN1	Schwann	NRXN1	
FB	CLSTN1	Schwann	NRXN3	
FB	CLSTN2	FB	NRXN3	
FB	CLSTN2	HFC	NRXN1	
FB	CLSTN2	HFC	NRXN3	
FB	CLSTN2	LEC	NRXN3	
FB	CLSTN2	MEC	NRXN1	
FB	CLSTN2	MEC	NRXN3	
FB	CLSTN2	MEL	NRXN3	
FB	CLSTN2	Schwann	NRXN1	
FB	CLSTN2	Schwann	NRXN3	
FB	CLSTN3	FB	NRXN3	
FB	CLSTN3	HFC	NRXN1	
FB	CLSTN3	HFC	NRXN3	
FB	CLSTN3	LEC	NRXN3	
FB	CLSTN3	MEC	NRXN1	
FB	CLSTN3	MEC	NRXN3	
FB	CLSTN3	MEL	NRXN3	
FB	CLSTN3	Schwann	NRXN1	
FB	CLSTN3	Schwann	NRXN3	
FB	CLU	Mac	TREM2	
FB	CLU	Mac	TYROBP	
FB	CNTN1	FB	NOTCH1	
FB	CNTN1	FB	NOTCH2	
FB	CNTN1	FB	NRCAM	
FB	CNTN1	HFC	MCAM	
FB	CNTN1	HFC	NOTCH1	
FB	CNTN1	HFC	NOTCH2	
FB	CNTN1	KC	NOTCH1	
FB	CNTN1	KC	NOTCH2	
FB	CNTN1	Channel	NOTCH1	
FB	CNTN1	Channel	NOTCH2	
FB	CNTN1	LC	NOTCH1	
FB	CNTN1	LC	NOTCH2	
FB	CNTN1	LC	NRCAM	
FB	CNTN1	LEC	NOTCH1	
FB	CNTN1	Lymphocyte	NOTCH1	
FB	CNTN1	Lymphocyte	NOTCH2	
FB	CNTN1	MEC	MCAM	
FB	CNTN1	MEC	NOTCH1	
FB	CNTN1	MEC	NOTCH2	
FB	CNTN1	MEL	NOTCH1	
FB	CNTN1	MEL	NOTCH2	
FB	CNTN1	MEL	NRCAM	
FB	CNTN1	Mac	NOTCH1	
FB	CNTN1	Mac	NOTCH2	
FB	CNTN1	Mast	NOTCH2	
FB	CNTN1	Mast	NRCAM	
FB	CNTN1	Pc	MCAM	
FB	CNTN1	Pc	NOTCH1	
FB	CNTN1	Pc	NOTCH2	
FB	CNTN1	SGC	NOTCH1	
FB	CNTN1	SGC	NOTCH2	
FB	CNTN1	Schwann	MCAM	
FB	CNTN1	Schwann	NOTCH1	
FB	CNTN1	Schwann	NOTCH2	
FB	CNTN1	Schwann	NRCAM	
FB	CNTN1	Sebocyte	MCAM	
FB	CNTN1	Sebocyte	NOTCH1	
FB	CNTN1	Sebocyte	NOTCH2	
FB	CNTN1	Sebocyte	NRCAM	
FB	CNTN1	VEC	MCAM	
FB	CNTN1	VEC	NOTCH1	
FB	COL11A1	FB	ITGA1	
FB	COL11A1	FB	ITGA11	
FB	COL11A1	FB	ITGB1	
FB	COL11A1	HFC	ITGA2	
FB	COL11A1	HFC	ITGB1	
FB	COL11A1	KC	ITGA2	
FB	COL11A1	KC	ITGB1	
FB	COL11A1	Channel	ITGA2	
FB	COL11A1	Channel	ITGB1	
FB	COL11A1	LEC	ITGA1	
FB	COL11A1	LEC	ITGB1	
FB	COL11A1	MEC	ITGA1	
FB	COL11A1	MEC	ITGA11	
FB	COL11A1	MEC	ITGA2	
FB	COL11A1	MEC	ITGB1	
FB	COL11A1	Pc	ITGA1	
FB	COL11A1	Pc	ITGB1	
FB	COL11A1	SGC	ITGA2	
FB	COL11A1	SGC	ITGB1	
FB	COL11A1	Schwann	ITGA1	
FB	COL11A1	Schwann	ITGA2	
FB	COL11A1	Schwann	ITGB1	
FB	COL11A1	Sebocyte	ITGA2	
FB	COL11A1	Sebocyte	ITGB1	
FB	COL11A1	VEC	ITGA1	
FB	COL11A1	VEC	ITGA10	
FB	COL11A1	VEC	ITGA2	
FB	COL11A1	VEC	ITGB1	
